Pair Address,Name,Symbol,Volume (24h),Volume (1h),Volume (5m),Buys (5m),Sells (5m),Price (Native),Liquidity (USD),Price Change (5m)
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,105951.74,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,105951.74,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,105951.74,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,105951.74,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,105951.74,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,105951.74,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,103520.21,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,103520.21,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,103520.21,218.14,0,0,0,1.052,718352.32,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,103580.14,389.39,0,0,0,1.052,718126.36,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,103580.14,389.39,0,0,0,1.052,718126.36,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,103580.14,389.39,0,0,0,1.052,718126.36,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,151244.02,1822.98,0,0,0,1.055,712799.36,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,151244.02,1822.98,0,0,0,1.055,712799.36,0
0xE06E1C61a4C220DB5f1aE89F9A5839eFBB00Be7D,QuantumFusion,QF,151244.02,1822.98,0,0,0,1.055,712799.36,0
