Pair Address,Name,Symbol,Volume (24h),Volume (1h),Volume (5m),Buys (5m),Sells (5m),Price (Native),Liquidity (USD),Price Change (5m)
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,431730.07,5965.25,0,0,0,0.06342,1515178.82,0
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,431730.07,5965.25,0,0,0,0.06342,1515178.82,0
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,404436.98,13313.8,2921.72,1,0,0.05752,1430057.94,0.92
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,404436.98,13313.8,0,0,0,0.05752,1430057.94,0
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,405518.23,14395.06,1081.25,0,1,0.05745,1430463.08,-0.12
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,405518.23,14395.06,1081.25,0,1,0.05745,1430463.08,-0.12
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,406031.24,14908.06,1594.25,0,2,0.05736,1429234.79,-0.28
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,408531.41,16374.41,2500.16,1,0,0.05783,1436108.43,0.83
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,403504.87,13595.4,0,0,0,0.05783,1436108.43,0
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,403504.87,13595.4,0,0,0,0.05783,1436108.43,0
0x47082A75BC16313EF92cfACa1FEb885659c3c9B5,ARC,ARC,401592.32,4456.56,0,0,0,0.05822,1445065.42,0
