Pair Address,Name,Symbol,Volume (24h),Volume (1h),Volume (5m),Buys (5m),Sells (5m),Price (Native),Liquidity (USD),Price Change (5m)
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,292.46,292.46,292.46,1,0,0.0002736,161443.21,0
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,292.46,292.46,292.46,1,0,0.0002736,161443.21,0
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,292.46,292.46,292.46,1,0,0.0002736,161443.21,0
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,292.46,292.46,292.46,1,0,0.0002736,161443.21,0
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,292.46,292.46,292.46,1,0,0.0002736,161443.21,0
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,292.46,292.46,292.46,1,0,0.0002736,161443.21,0
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,292.46,292.46,292.46,1,0,0.0002736,161443.21,0
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,2431.06,2431.06,2431.06,4,0,0.0002883,165706.36,5.35
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,2431.06,2431.06,2431.06,4,0,0.0002883,165706.36,5.35
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,2431.06,2431.06,2431.06,4,0,0.0002883,165706.36,5.35
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,2431.06,2431.06,2431.06,4,0,0.0002883,165706.36,5.35
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,2431.06,2431.06,2431.06,4,0,0.0002883,165706.36,5.35
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,2431.06,2431.06,2431.06,4,0,0.0002883,165706.36,5.35
0xEfF931d5E61d73CF8F4e6B75f766beA1967f25EF,Grand Theft Auto 6,GTA6,2510.97,2510.97,2510.97,5,0,0.0002888,165831.22,5.53
