Pair Address,Name,Symbol,Volume (24h),Volume (1h),Volume (5m),Buys (5m),Sells (5m),Price (Native),Liquidity (USD),Price Change (5m)
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,23479.12,23479.12,23479.12,109,0,0.0000004797,54184.41,5381
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,23479.12,23479.12,23479.12,109,0,0.0000004797,54184.41,5381
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,36886.59,36886.59,36886.59,116,4,0.0000003695,47593.94,4122
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,76764.72,76764.72,38250.53,27,9,0.0000005319,57243.44,26.1
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,76764.72,76764.72,38250.53,27,9,0.0000005319,57243.44,26.1
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,80499.21,80499.21,41985.02,28,11,0.0000004501,52668.42,6.71
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,83022.42,83022.42,36352.27,23,9,0.0000005404,57714.81,25.15
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,211404.01,211404.01,51148.86,32,12,0.000001012,79365.84,9.74
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,211404.01,211404.01,51148.86,32,12,0.000001012,79365.84,9.74
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,226836.96,226836.96,66581.81,40,19,0.0000008378,72241.83,-9.17
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,226836.96,226836.96,66581.81,40,19,0.0000008378,72241.83,-9.17
0xF243062a3daf9836645e8B68Ad936498914704eA,Just Dat Guy,DATGUY,227730.69,227730.69,49805.15,33,17,0.0000008281,71763.78,-31.16
