Pair Address,Name,Symbol,Volume (24h),Volume (1h),Volume (5m),Buys (5m),Sells (5m),Price (Native),Liquidity (USD),Price Change (5m)
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,8491.76,8491.76,8491.76,37,0,0.0000001280,24065.74,991
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,8491.76,8491.76,8491.76,37,0,0.0000001280,24065.74,991
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,8491.76,8491.76,8491.76,37,0,0.0000001280,24065.74,991
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,8491.76,8491.76,8491.76,37,0,0.0000001280,24065.74,991
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,8491.76,8491.76,8491.76,37,0,0.0000001280,24065.74,991
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,8491.76,8491.76,8491.76,37,0,0.0000001280,24065.74,991
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,8491.76,8491.76,8491.76,37,0,0.0000001280,24065.74,991
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,11451.86,11451.86,11451.86,43,4,0.00000009588,20839.17,717
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,11451.86,11451.86,11451.86,43,4,0.00000009588,20839.17,717
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,11451.86,11451.86,11451.86,43,4,0.00000009588,20839.17,717
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,11451.86,11451.86,11451.86,43,4,0.00000009588,20839.17,717
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,11451.86,11451.86,11451.86,43,4,0.00000009588,20839.17,717
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,11451.86,11451.86,11451.86,43,4,0.00000009588,20839.17,717
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,11451.86,11451.86,11451.86,43,4,0.00000009588,20839.17,717
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,11451.86,11451.86,11451.86,43,4,0.00000009588,20839.17,717
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,14427.19,14427.19,14427.19,43,12,0.00000004889,14888.69,317
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,14427.19,14427.19,14427.19,43,12,0.00000004889,14888.69,317
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,14427.19,14427.19,14427.19,43,12,0.00000004889,14888.69,317
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,14427.19,14427.19,14427.19,43,12,0.00000004889,14888.69,317
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,14427.19,14427.19,14427.19,43,12,0.00000004889,14888.69,317
0xDBE1fe7C1eFca72e9817f33888373FB2F90f2a4A,Crypto Dad,PAUL,14427.19,14427.19,14427.19,43,12,0.00000004889,14888.69,317
